Month,Short-term Visitors arriving - Under 1 week,Short-term Visitors arriving - Over 1 and under 2 weeks,Short-term Visitors arriving - Over 2 weeks and under 1 month,Short-term Visitors arriving - Over 1 and under 2 months,Short-term Visitors arriving - Over 2 and under 3 months,Short-term Visitors arriving - Over 3 and under 6 months,Short-term Visitors arriving - Over 6 and under 12 months,Short-term Visitors arriving - Total,Short-term Visitors arriving - Convention/conference,Short-term Visitors arriving - Business,Short-term Visitors arriving - Visiting friends/relatives,Short-term Visitors arriving - Holiday,Short-term Visitors arriving - Employment,Short-term Visitors arriving - Education,Short-term Visitors arriving - Other & not stated,Short-term Visitors arriving - Total
Dec-97,101510,127450,112640,65390,15400,16030,9870,448280,3500,28190,132290,259200,2110,3560,19420,448280
Jan-98,92330,105800,64110,33410,12880,14980,22710,346230,4450,30550,66590,198470,3030,17800,25340,346230
Feb-98,100150,96180,61890,35780,10700,16050,32860,353610,6690,40520,66320,188220,2730,30320,18810,353610
Mar-98,101320,100070,68790,34860,9210,12630,11670,338560,8760,44580,73880,182330,1900,7640,19470,338560
Apr-98,104420,110870,65310,27290,9170,11990,12030,341080,7560,35480,78490,189410,2440,8360,19340,341080
May-98,105070,87390,44810,19830,6800,10400,9090,283400,8710,39530,52340,159070,2340,4900,16510,283400
Jun-98,101220,88180,56680,26770,10060,11230,10040,304190,5200,34440,59380,175110,1970,7420,20670,304190
Jul-98,90350,114110,83090,37740,10200,15310,21510,372300,10530,32780,62270,183910,3480,25460,53870,372300
Aug-98,92760,110060,69620,24080,6140,10130,10880,323680,7450,34010,51160,168490,3740,7660,51160,323680
Sep-98,93940,110050,59490,24360,8000,13570,14450,323860,11080,28620,51120,130290,3280,6040,93440,323860
Oct-98,96090,118890,69020,30440,11150,14140,15030,354750,15770,41040,69650,186780,3990,9450,28080,354750
Nov-98,101460,115020,71150,34360,15030,17240,13650,367910,11480,42160,81320,199600,3610,4950,24780,367910
Dec-98,92100,132650,126140,63930,15060,16680,11080,457640,3960,26640,129920,256890,3490,4780,31970,457640
Jan-99,87510,105840,64720,34630,13620,18920,25740,350980,4650,31760,69270,186890,5300,21890,31210,350980
Feb-99,106200,127150,72130,35180,11420,15950,30540,398570,6720,38850,66560,226640,3760,29320,26710,398570
Mar-99,107060,126210,84540,34410,10090,13060,13650,389020,9150,40280,82060,219680,3420,8370,26050,389020
Apr-99,99200,116040,61920,22730,7980,13290,12990,334130,13610,34540,63050,184200,3520,9440,25770,334130
May-99,102240,99880,48880,19300,7200,10460,10160,298130,9500,42300,51020,160780,3030,6620,24890,298130
Jun-99,97940,101800,60650,24280,10770,10690,10920,317060,4960,33820,59860,177990,3840,9670,26910,317060
Jul-99,85290,118470,91580,41660,11620,15560,24260,388460,10620,35720,67640,205830,4200,29290,35140,388460
Aug-99,106520,116800,76800,26060,6770,11440,11220,355610,9260,37990,56710,212200,3610,7520,28320,355610
Sep-99,102720,112760,71730,28290,8920,14430,14290,353130,11470,36580,66990,197950,3670,7510,28970,353130
Oct-99,105260,123130,83270,37830,12090,16660,18740,396980,12150,37920,76970,221780,3420,10810,33940,396980
Nov-99,121650,128290,77060,34180,15540,21920,18020,416670,11380,44230,83620,236990,3870,5800,30770,416670
Dec-99,95500,126610,116400,71010,17980,18790,14490,460780,3600,26960,120680,271780,2940,6490,28320,460780
Jan-00,95070,98040,71910,35260,14070,17780,28680,360800,6500,29620,66130,195370,4720,22870,35590,360800
Feb-00,120950,129280,79060,38780,12100,18580,35850,434590,8430,41700,74280,241430,3530,33240,31990,434590
Mar-00,128710,130740,79620,31970,9860,16780,14170,411860,10390,45380,76300,235190,3750,9140,31700,411860
Apr-00,113080,135800,89960,27860,9070,15280,14570,405620,11100,38330,87740,221680,3900,9840,33030,405620
May-00,113480,99020,52500,19870,8540,13040,12890,319350,11590,44660,57480,166130,3490,9100,26910,319350
Jun-00,106000,111080,64670,26630,11600,13010,14950,347940,9760,39780,69630,184170,3240,11530,29830,347940
Jul-00,102460,126920,98090,42860,12270,18530,27890,429030,12930,42970,76530,214190,4530,34570,43300,429030
Aug-00,105550,121000,76160,29620,9820,13940,16760,372850,8750,39910,70280,205540,5170,8280,34930,372850
Sep-00,93820,127910,100950,38670,9660,15740,16220,402970,12810,41510,61460,204850,6420,11530,64380,402970
Oct-00,113720,133310,91300,36710,12650,18350,20480,426510,17380,45800,83230,221080,4190,14650,40180,426510
Nov-00,137490,147440,89570,34370,12710,19920,18400,459910,17460,46620,92200,255250,4120,7770,36500,459910
Dec-00,115150,160870,158840,73580,18010,18990,14490,559930,8950,28220,162660,312220,3320,7760,36810,559930
Jan-01,107100,126320,78290,38240,15440,19960,31260,416600,6090,31650,81190,226670,5540,26570,38900,416600
Feb-01,114340,119530,83240,38650,12290,21750,39400,429200,9060,43240,80470,218260,4600,39980,33590,429200
Mar-01,126370,138210,84780,35620,10920,16090,16760,428750,13460,42100,90260,233250,3890,13460,32340,428750
Apr-01,114800,141180,83530,28250,9340,13900,14370,405380,12230,35970,90930,217510,3490,13620,31620,405380
May-01,112870,111960,55530,19310,7240,11290,11990,330180,13110,38820,61450,176540,3240,7700,29310,330180
Jun-01,109970,116290,79320,28800,10550,12770,12310,370020,8800,33280,69910,207230,3190,15760,31840,370020
Jul-01,96470,135640,108840,47270,11000,18190,29480,446880,14740,37060,70290,212160,4900,42220,65510,446880
Aug-01,116170,125200,83130,25430,7420,12020,15220,384590,8300,38810,59800,194860,4690,11730,66400,384590
Sep-01,96840,122650,73580,27500,10020,17630,18090,366290,16840,30620,65710,173590,5530,10510,63490,366290
Oct-01,94770,119390,80530,33370,12680,16440,21280,378470,14070,38520,64210,176250,6780,13350,65290,378470
Nov-01,101390,112400,77400,33190,14800,19820,17190,376190,11020,37730,72340,188780,5030,6950,54330,376190
Dec-01,109760,141110,149310,73090,16930,18290,14700,523190,7910,26670,135800,259170,5910,7780,79950,523190
Jan-02,98260,99790,72560,36810,15620,22600,33650,379290,4910,30370,65220,172640,9030,29120,68000,379290
Feb-02,117420,127660,82580,38210,12940,21750,36670,437240,8640,37730,68140,206350,7210,36960,72210,437240
Mar-02,126360,132630,99820,36950,11890,17490,21360,446500,10010,39030,87700,213240,9570,16450,70490,446500
Apr-02,113180,116560,62200,26200,9510,16020,16640,360310,15730,40130,63200,178310,8500,13170,41270,360310
May-02,117800,106640,51140,19190,8710,14440,12010,329950,15250,39060,45680,159200,6530,9190,55030,329950
Jun-02,98170,106750,63940,27600,13890,14270,14770,339390,7270,33390,56630,161860,5650,14150,60440,339390
Jul-02,95710,118030,98430,42660,12360,19300,31680,418160,13950,36490,61160,183520,5650,44900,72490,418160
Aug-02,112760,120280,74850,24260,7790,14820,17170,371940,9160,34330,50840,189080,6410,13720,68400,371940
Sep-02,102350,111820,67230,28020,9980,18700,20470,358570,13850,35910,57640,166980,6590,11080,66530,358570
Oct-02,122310,131310,85880,35240,13380,20020,20730,428860,14190,42190,72890,230040,6140,14830,48580,428860
Nov-02,133220,127340,85500,32930,15390,22930,19710,437020,11970,44770,76870,243060,6140,8490,45730,437020
Dec-02,120330,136650,153690,71710,17450,19000,15130,533970,5000,29050,141610,297200,4430,6880,49810,533970
Jan-03,106500,102320,76740,38940,15510,22120,34510,396650,5540,32370,69290,204170,7380,30040,47860,396650
Feb-03,120510,111960,77920,36880,13330,22840,44050,427480,9450,40690,69560,213090,5860,45450,43390,427480
Mar-03,117990,115520,76870,33230,11170,16890,20800,392470,11070,40700,74890,199010,5020,17260,44510,392470
Apr-03,81240,100330,76410,27140,9600,12220,14560,321510,8280,27220,77500,159290,4210,9780,35240,321510
May-03,84680,76210,50380,18850,8010,10870,11900,260900,14800,33890,52680,119290,4310,7950,27980,260900
Jun-03,84040,96430,62440,28880,11950,12350,12170,308270,8750,32030,59850,156500,5460,12480,33190,308270
Jul-03,97790,114760,92220,45260,13070,21760,30660,415510,17280,36600,71850,197300,8120,42030,42340,415510
Aug-03,107440,105680,80780,26040,7910,14660,19720,362250,14470,38650,63970,190710,8120,13960,32380,362250
Sep-03,110600,119700,73930,27930,10480,19130,23830,385600,18260,40410,71760,197360,8600,12940,36270,385600
Oct-03,130440,118040,86530,37000,14620,21990,26710,435330,12380,45220,79420,230470,9660,15950,42230,435330
Nov-03,149870,140550,93180,34360,14410,22490,18430,473280,13670,49380,87320,262350,8620,9690,42250,473280
Dec-03,128850,146360,161010,74440,17930,20260,17760,566600,8580,30310,154120,311020,8530,8130,45910,566600
